Current,Next,I_next,I_current
Community Chest #2,Jail,10,17
Jail,St. James Place,16,10
St. James Place,Atlantic Ave,26,16
Atlantic Ave,Pacific Ave,31,26
Pacific Ave,Community Chest #3,33,31
Community Chest #3,Community Chest #1,2,33
Community Chest #1,Jail,10,2
Jail,Electric Company,12,10
Electric Company,New York Ave,19,12
New York Ave,Water Works,28,19
Water Works,Luxury Tax,38,28
Luxury Tax,Reading Railroad,5,38
Reading Railroad,Jail,10,5
Jail,Virginia Ave,14,10
Virginia Ave,Community Chest #2,17,14
Community Chest #2,Ventnor Ave,27,17
Ventnor Ave,Pennsylvania Ave,34,27
Pennsylvania Ave,Reading Railroad,5,34
Reading Railroad,States Ave,13,5
States Ave,Free Parking,20,13
Free Parking,Ventnor Ave,27,20
Ventnor Ave,Chance #3,36,27
Chance #3,St. Charles Place,11,36
St. Charles Place,Free Parking,20,11
Free Parking,Ventnor Ave,27,20
Ventnor Ave,Luxury Tax,38,27
Luxury Tax,Vermont Ave,8,38
Vermont Ave,Virginia Ave,14,8
Virginia Ave,Tennessee Ave,18,14
Tennessee Ave,Ventnor Ave,27,18
Ventnor Ave,Chance #3,36,27
Chance #3,Reading Railroad,5,36
Reading Railroad,Virginia Ave,14,5
Virginia Ave,Kentucky Ave,21,14
Kentucky Ave,Marvin Gardens,29,21
Marvin Gardens,Short Line,35,29
Short Line,Mediterranean Ave,1,35
Mediterranean Ave,St. Charles Place,11,1
St. Charles Place,Free Parking,20,11
Free Parking,B & O Railroad,25,20
B & O Railroad,Community Chest #3,33,25
Community Chest #3,Go,0,33
Go,Chance #1,7,0
Chance #1,St. James Place,16,7
St. James Place,Indiana Ave,23,16
Indiana Ave,B & O Railroad,25,23
B & O Railroad,Go To Jail,30,25
Go To Jail,Jail,10,30
Jail,St. James Place,16,10
St. James Place,Free Parking,20,16
Free Parking,Go To Jail,30,20
Go To Jail,Jail,10,30
Jail,New York Ave,19,10
New York Ave,Illinois Ave,24,19
Illinois Ave,Pacific Ave,31,24
Pacific Ave,Go,0,31
Go,St. Charles Place,11,0
St. Charles Place,Community Chest #2,17,11
Community Chest #2,Jail,10,17
Jail,Tennessee Ave,18,10
Tennessee Ave,B & O Railroad,25,18
B & O Railroad,Marvin Gardens,29,25
Marvin Gardens,Mediterranean Ave,1,29
Mediterranean Ave,Oriental Ave,6,1
Oriental Ave,Jail,10,6
Jail,Pennsylvania Railroad,15,10
Pennsylvania Railroad,B & O Railroad,25,15
B & O Railroad,Community Chest #3,33,25
Community Chest #3,Boardwalk,39,33
Boardwalk,Income Tax,4,39
Income Tax,States Ave,13,4
States Ave,Free Parking,20,13
Free Parking,Water Works,28,20
Water Works,Go To Jail,30,28
Go To Jail,Jail,10,30
Jail,Pennsylvania Railroad,15,10
